name,district,category,description,entry_fee,best_time,activities,latitude,longitude,rating
Adilabad Fort,Adilabad,Eco,Popular fort located in Adilabad.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",16.5,77.5,4.1
Adilabad Temple,Adilabad,Cultural,Popular temple located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.52,77.52,4.3
Adilabad Lake,Adilabad,Commercial,Popular lake located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.54,77.54,4.5
Adilabad Waterfalls,Adilabad,Eco-Cultural Rural,Popular waterfalls located in Adilabad.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",16.56,77.56,4.7
Adilabad Wildlife Sanctuary,Adilabad,Eco,Popular wildlife sanctuary located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.58,77.58,4.1
Adilabad Dam,Adilabad,Cultural,Popular dam located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.6,77.6,4.3
Adilabad Eco Park,Adilabad,Commercial,Popular eco park located in Adilabad.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",16.62,77.62,4.5
Adilabad Heritage Site,Adilabad,Eco-Cultural Rural,Popular heritage site located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.64,77.64,4.7
Adilabad Museum,Adilabad,Eco,Popular museum located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.66,77.66,4.1
Adilabad Hill View Point,Adilabad,Cultural,Popular hill view point located in Adilabad.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",16.68,77.68,4.3
Adilabad Tribal Village,Adilabad,Commercial,Popular tribal village located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.7,77.7,4.5
Adilabad Handloom Cluster,Adilabad,Eco-Cultural Rural,Popular handloom cluster located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.72,77.72,4.7
Adilabad Riverfront,Adilabad,Eco,Popular riverfront located in Adilabad.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",16.74,77.74,4.1
Adilabad Forest Trails,Adilabad,Cultural,Popular forest trails located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.76,77.76,4.3
Adilabad Spiritual Center,Adilabad,Commercial,Popular spiritual center located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.78,77.78,4.5
Adilabad Archaeological Site,Adilabad,Eco-Cultural Rural,Popular archaeological site located in Adilabad.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",16.8,77.8,4.7
Adilabad Buddhist Site,Adilabad,Eco,Popular buddhist site located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.82,77.82,4.1
Adilabad Urban Park,Adilabad,Cultural,Popular urban park located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.84,77.84,4.3
Adilabad Reservoir,Adilabad,Commercial,Popular reservoir located in Adilabad.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",16.86,77.86,4.5
Adilabad Cultural Center,Adilabad,Eco-Cultural Rural,Popular cultural center located in Adilabad.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.88,77.88,4.7
Bhadradri Kothagudem Fort,Bhadradri Kothagudem,Eco,Popular fort located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.9,77.9,4.1
Bhadradri Kothagudem Temple,Bhadradri Kothagudem,Cultural,Popular temple located in Bhadradri Kothagudem.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",16.92,77.92,4.3
Bhadradri Kothagudem Lake,Bhadradri Kothagudem,Commercial,Popular lake located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.94,77.94,4.5
Bhadradri Kothagudem Waterfalls,Bhadradri Kothagudem,Eco-Cultural Rural,Popular waterfalls located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",16.96,77.96,4.7
Bhadradri Kothagudem Wildlife Sanctuary,Bhadradri Kothagudem,Eco,Popular wildlife sanctuary located in Bhadradri Kothagudem.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",16.98,77.98,4.1
Bhadradri Kothagudem Dam,Bhadradri Kothagudem,Cultural,Popular dam located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17,78,4.3
Bhadradri Kothagudem Eco Park,Bhadradri Kothagudem,Commercial,Popular eco park located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.02,78.02,4.5
Bhadradri Kothagudem Heritage Site,Bhadradri Kothagudem,Eco-Cultural Rural,Popular heritage site located in Bhadradri Kothagudem.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",17.04,78.04,4.7
Bhadradri Kothagudem Museum,Bhadradri Kothagudem,Eco,Popular museum located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.06,78.06,4.1
Bhadradri Kothagudem Hill View Point,Bhadradri Kothagudem,Cultural,Popular hill view point located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.08,78.08,4.3
Bhadradri Kothagudem Tribal Village,Bhadradri Kothagudem,Commercial,Popular tribal village located in Bhadradri Kothagudem.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",17.1,78.1,4.5
Bhadradri Kothagudem Handloom Cluster,Bhadradri Kothagudem,Eco-Cultural Rural,Popular handloom cluster located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.12,78.12,4.7
Bhadradri Kothagudem Riverfront,Bhadradri Kothagudem,Eco,Popular riverfront located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.14,78.14,4.1
Bhadradri Kothagudem Forest Trails,Bhadradri Kothagudem,Cultural,Popular forest trails located in Bhadradri Kothagudem.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",17.16,78.16,4.3
Bhadradri Kothagudem Spiritual Center,Bhadradri Kothagudem,Commercial,Popular spiritual center located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.18,78.18,4.5
Bhadradri Kothagudem Archaeological Site,Bhadradri Kothagudem,Eco-Cultural Rural,Popular archaeological site located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.2,78.2,4.7
Bhadradri Kothagudem Buddhist Site,Bhadradri Kothagudem,Eco,Popular buddhist site located in Bhadradri Kothagudem.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",17.22,78.22,4.1
Bhadradri Kothagudem Urban Park,Bhadradri Kothagudem,Cultural,Popular urban park located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.24,78.24,4.3
Bhadradri Kothagudem Reservoir,Bhadradri Kothagudem,Commercial,Popular reservoir located in Bhadradri Kothagudem.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.26,78.26,4.5
Bhadradri Kothagudem Cultural Center,Bhadradri Kothagudem,Eco-Cultural Rural,Popular cultural center located in Bhadradri Kothagudem.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",17.28,78.28,4.7
Hanamkonda Fort,Hanamkonda,Eco,Popular fort located in Hanamkonda.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.3,78.3,4.1
Hanamkonda Temple,Hanamkonda,Cultural,Popular temple located in Hanamkonda.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",17.32,78.32,4.3
Hanamkonda Lake,Hanamkonda,Commercial,Popular lake located in Hanamkonda.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",17.34,78.34,4.5
